,0,1,2,3
cluster,0.0,1.0,2.0,3.0
proportion,0.007108239095315024,0.16348949919224556,0.545718901453958,0.2836833602584814
average_frequency,123.80111703127459,735.0,53.0625,62.561858076563965
review_score,4.044439868664771,5.0,4.142857142857143,4.111111111111111
total_sales,24534.0,507.0,54400.0,33481.0
average_total_sales,1151.5,1.0,9.0,12.0
total_revenue,2911935.509999986,115303.39999999979,6809099.230000011,3779454.3200000008
average_total_revenue,125787.00500000056,91.0,1080.0,1400.5
main_product_ratio,77.09557191055472,100.0,96.50057677706738,55.87774724435385
dropped_off,0.0,1.0,0.5429248075784487,0.4783599088838269
price_per_order,166.28723036188342,227.1462450592881,176.85629976146745,146.25233297574272
