product_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
agro_industry_and_commerce,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
air_conditioning,furniture_decor,sports_leisure,bed_bath_table,agro_industry_and_commerce,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,health_beauty,kitchen_dining_laundry_garden_furniture,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_bedroom,home_appliances,la_cuisine,market_place,food_drink
art,furniture_decor,garden_tools,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,furniture_mattress_and_upholstery,furniture_living_room,furniture_bedroom,la_cuisine,food_drink,luggage_accessories,music,toys
arts_and_craftmanship,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
audio,cool_stuff,sports_leisure,watches_gifts,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,home_appliances_2,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,kitchen_dining_laundry_garden_furniture,la_cuisine,luggage_accessories,market_place
auto,musical_instruments,home_construction,housewares,drinks,stationery,luggage_accessories,office_furniture,construction_tools_construction,pet_shop,perfumery,consoles_games,cool_stuff,baby,computers_accessories,bed_bath_table,sports_leisure,watches_gifts,garden_tools,electronics,telephony
baby,watches_gifts,health_beauty,furniture_living_room,furniture_decor,fashion_shoes,auto,bed_bath_table,cool_stuff,garden_tools,toys,housewares,fashion_bags_accessories,sports_leisure,telephony,home_appliances_2,furniture_mattress_and_upholstery,home_comfort_2,home_confort,home_construction,industry_commerce_and_business
bed_bath_table,party_supplies,construction_tools_safety,home_appliances,construction_tools_construction,consoles_games,furniture_bedroom,home_construction,costruction_tools_garden,fashion_underwear_beach,furniture_living_room,kitchen_dining_laundry_garden_furniture,baby,cool_stuff,home_confort,fashion_shoes,auto,garden_tools,office_furniture,unknown,furniture_decor
books_general_interest,market_place,furniture_decor,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,agro_industry_and_commerce,home_appliances,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_bedroom,la_cuisine,home_appliances_2,luggage_accessories,music,toys
books_imported,agro_industry_and_commerce,kitchen_dining_laundry_garden_furniture,industry_commerce_and_business,housewares,home_construction,home_confort,home_comfort_2,la_cuisine,home_appliances_2,health_beauty,garden_tools,furniture_mattress_and_upholstery,furniture_living_room,furniture_decor,furniture_bedroom,home_appliances,food_drink,luggage_accessories,music,toys
